"Nome","Preço de venda","Custo de aquisição","Quantidade vendida"
"RETENTOR PARTIDA","R$ 2.00 ","R$ 1.07 ","20"
"RETENTOR EMB","R$ 5.00 ","R$ 2.68 ","20"
"PORTA ESCOVA","R$ 10.00 ","R$ 6.02 ","10"
"PROTETOR CORRENTE","R$ 15.00 ","R$ 11.23 ","5"
"ARO CROMADO RD TS 185X18","R$ 70.00 ","R$ 57.50 ","5"
"ARO CROMADO RD DT 160X18","R$ 70.00 ","R$ 57.50 ","5"
"ARO CROMADO RD DT 140X17","R$ 70.00 ","R$ 55.20 ","5"
"ARO CROMADO RD TS 160X14","R$ 70.00 ","R$ 60.05 ","5"
"JUNTA TAMPA LAT D","R$ 8.00 ","R$ 4.74 ","20"
"JG JUNTA COMP S BOR S AMIANTO","R$ 16.00 ","R$ 13.25 ","5"
"JG JUNTA COMP S BOR S AMIANTO","R$ 15.00 ","R$ 12.97 ","5"
"JG JUNTA COMP S BOR S AMIANTO","R$ 30.00 ","R$ 18.41 ","5"
"JG JUNTA COMP S BOR","R$ 20.00 ","R$ 13.33 ","5"
"JG JUNTA COMP","R$ 30.00 ","R$ 18.27 ","5"
"RETROV PT MOD ORIG PAR","R$ 20.00 ","R$ 15.39 ","10"
"PISTAO C ANEL 025 KMP","R$ 60.00 ","R$ 43.95 ","1"
"PISTAO C ANEL 050 KMP","R$ 60.00 ","R$ 43.95 ","1"
"PISTAO C ANEL 075 KMP","R$ 60.00 ","R$ 43.95 ","1"
"PISTAO C ANEL 100 KMP","R$ 60.00 ","R$ 43.95 ","3"
"EIXO QUADRO ELASTICO","R$ 20.00 ","R$ 13.67 ","20"
"BUCHA GARFO TS KIT","R$ 10.00 ","R$ 7.02 ","10"
"COLETOR ADM","R$ 30.00 ","R$ 17.89 ","5"
"RETENTOR EIXO PINHAO","R$ 3.00 ","R$ 1.21 ","20"
"SUPORTE EMBLEMA FRONTAL","R$ 20.00 ","R$ 14.27 ","10"
"PARALAMA TS","R$ 30.00 ","R$ 23.10 ","5"
"CONJ RABETA VERM","R$ 50.00 ","R$ 38.03 ","3"
"PARALAMA TS B","R$ 30.00 ","R$ 22.42 ","5"
